"query_id","query_text","normalized_query_sha256","language","business_context","mandatory_filters_json","query_type","answerability","origin","not_derived_from_reference_corpus_yes_no","approved_for_development_yes_no","author_or_owner","notes","filter_source"
"DEV-021","A bank is preparing a digital transformation roadmap that aligns business processes, applications, data and target architecture.","0f8cd69601aebe33d0e70c41c6f1c797623264ff4500e38e0a95208cae3388a3","en","Banking; digital transformation and enterprise architecture.","{}","answerable|cross_language_expected","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","Best evidence may be French. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-022","A large organization wants to reengineer its processes and select an ERP, including requirements, tender documents and implementation support.","48c860772fcf919672de91529052fe69a7e93e6670e2a0a33e8e5e7d22c3c54c","en","Process reengineering and ERP.","{}","answerable|direct","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","Combines AMOA and ERP selection. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-023","A central bank needs to test its business continuity and disaster recovery arrangements through crisis exercises and improvement plans.","418aca27041ef01359ff302044358a6b7d0bea11fd04afcac3a2014e4df14a11","en","Central banking; business continuity.","{}","answerable|direct|acronym_heavy","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","BCP/DR concepts. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-024","A public agency wants a data-classification framework, information-handling rules and governance responsibilities.","4d646be3727d621019e949c72f58fd8d506b7a62cc64a5cdda26e5bfab252b98","en","Public sector; data classification.","{}","answerable|direct","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","Information governance. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-025","A ministry needs a PMO to coordinate a portfolio of digital-government projects, manage risks and assure delivery quality.","5e6ce05dd56657cd06edf78e12a08273fad6fa013bb75f2020744e5bea073511","en","Government; PMO and digital services.","{}","answerable|direct","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","Portfolio management. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-026","Find West African references from the last five years related to personal-data protection in financial institutions.","4ae1b14b35d705976818478da8c166be7fc70ef21236dc6f6dae60cb59878ab2","en","Filtered search for data protection.","{""country"":[""Côte d’Ivoire"",""Mali"",""Burkina Faso"",""Mauritanie"",""Niger"",""Sénégal""],""period"":{""preset"":""last_5_years""},""sector"":[""Banque""]}","answerable|filter_constrained|cross_language_expected","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","French evidence is expected. Approved for development diagnostics only; not an official held-out or gold-set query.","OWNER_APPROVED_OVERRIDE"
"DEV-027","A telecom regulator needs an IT master plan and an enterprise-architecture roadmap, including current-state assessment and target urbanization.","a9aa82b1349133bb171565dbeff5cd8b3d7658851eadb224e951420ad2388651","en","Telecommunications; IT strategy.","{}","answerable|direct","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","Enterprise architecture and roadmap. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-028","An aerospace company needs aircraft-engine maintenance, airworthiness certification and hangar operations support.","7b8314c84b3d7582ef9a8c386d5197f8db1c0be16ca32c66d5f672b1cd13f6bc","en","Aerospace engineering.","{}","no_answer","no_answer","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","Deliberately outside expected portfolio. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-029","A pharmaceutical company needs clinical-trial design, regulatory submissions and pharmacovigilance operations.","5e834f4094f6bb2cd68c740cd315b5bbd235cf1b8303ce026813cfe1fbb158ca","en","Pharmaceutical and clinical research.","{}","no_answer","no_answer","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","Deliberately outside expected portfolio. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-030","A fashion retailer wants store merchandising, garment sourcing, seasonal collection design and inventory planning.","3e5acfde115bc02fa0d1b5a2160c454c075ed46f5627022b9b549d0ab6a8799e","en","Fashion retail.","{}","no_answer","no_answer","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","Deliberately outside expected portfolio. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-031","A mining operator needs geological exploration, drilling optimization and mineral-processing plant design.","30bbaf6007c4e97030144e51eff90d42fea00b4ca768401a63ff7c0273afb5c8","en","Mining and extractive industries.","{}","no_answer","no_answer","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","Deliberately outside expected portfolio. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-032","تبحث مؤسسة مالية عن تنفيذ منصة لإدارة واجهات البرمجة وتأمين نشر الخدمات الرقمية مع نقل المعرفة إلى الفريق الداخلي.","e8f2648f0f7addd07945dbb3a66d5345890842fc464343d092eb140ba8d93926","ar","قطاع مالي؛ إدارة واجهات البرمجة.","{}","answerable|direct|cross_language_expected","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","قد تكون أفضل الأدلة باللغة الفرنسية. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-033","يرغب بنك في إعداد مخطط توجيهي لنظام المعلومات يشمل تشخيص الوضع الحالي والهندسة المستهدفة وخارطة طريق متعددة السنوات.","99044002c4a9265aed274be6f65263253c30e7efbee8452fa47461f4336986a5","ar","قطاع بنكي؛ استراتيجية نظم المعلومات.","{}","answerable|direct|cross_language_expected","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","استعلام عربي وأدلة فرنسية محتملة. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-034","تحتاج مؤسسة مصرفية إلى إعداد خطة استمرارية الأعمال وفق معيار ISO 22301 مع تحليل أثر الأعمال واختبارات الأزمات.","bb91eda28e10e609fb44049409593118511639c1e54573cdae6047657c26b1d3","ar","استمرارية الأعمال في القطاع البنكي.","{}","answerable|direct|acronym_heavy","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","ISO 22301 وBIA مصطلحات مهمة. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-035","تريد جهة حكومية دراسة إنشاء مركز بيانات وطني وخدمات سحابية مشتركة مع نموذج حوكمة وتشغيل وتمويل.","bbc1c8b6e0f03660cb68e1d00ba17abcdba5c0a800319dcd9fb0b2a72dcca03f","ar","حكومة؛ مركز بيانات وسحابة وطنية.","{}","answerable|direct|cross_language_expected","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","أدلة فرنسية أو إنجليزية مقبولة. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-036","يرغب بنك مركزي في وضع إطار لحماية البيانات الشخصية وإجراء تحليلات الأثر وتحديد إجراءات الامتثال.","17dc3924790f9e06e92dcef7feb4f05a8d589e69d45d0ab25284970e79ff773a","ar","بنك مركزي؛ حماية البيانات.","{}","answerable|direct|cross_language_expected","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","بحث دلالي متعدد اللغات. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-037","تبحث مؤسسة عن تدقيق أمني شامل لنظام المعلومات والتحضير لشهادة ISO 27001.","214f96c3893e216ac5a9e67b1c668a0ea9c2a73e5f47dfa6090969a0a4da7a10","ar","الأمن السيبراني ونظام إدارة أمن المعلومات.","{}","answerable|direct|acronym_heavy","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","ISO 27001. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-038","تحتاج وزارة إلى مكتب إدارة مشاريع لمتابعة برنامج تحول رقمي يضم عدة خدمات إلكترونية.","4f8c32dda12af5426281fd305c9f5f77ce4b22ebd97315392c08bd1ddd4f78d0","ar","قطاع حكومي؛ PMO والتحول الرقمي.","{}","answerable|direct","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","PMO وبرنامج متعدد المشاريع. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-039","يرغب بنك في اختيار نظام مصرفي أساسي جديد وإدارة المناقصة والاختبارات وترحيل البيانات.","bad362d84c1ef39b6e142cd97fe472db5a9bc9bebefdba6766c1ccb35c94170a","ar","قطاع بنكي؛ Core Banking System.","{}","answerable|direct|cross_language_expected","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","يمكن أن تكون الأدلة بالفرنسية. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-040","تحتاج هيئة تنظيم الاتصالات إلى استراتيجية وطنية للانتقال إلى IPv6 مع تقييم الأثر الفني والمالي.","5d0186c06dafa4b9eb7e7f59541951bb59cbe79ec2d1091ff92bd7ef9ae21068","ar","اتصالات؛ IPv6.","{}","answerable|direct|acronym_heavy","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","حفظ IPv6 كمصطلح دقيق. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-041","اعرض مراجع من تونس خلال السنوات الخمس الأخيرة مرتبطة بالسحابة أو مراكز البيانات.","e1f9ed4c479565ce5877978df07191561fd4b744eb13ac417081f3f49518b427","ar","بحث مفلتر جغرافياً وزمنياً.","{""country"":[""Tunisie""],""offering"":[""Cloud""],""period"":{""preset"":""last_5_years""}}","answerable|filter_constrained","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","الفلاتر إلزامية. Approved for development diagnostics only; not an official held-out or gold-set query.","OWNER_APPROVED_OVERRIDE"
"DEV-042","تبحث شركة سياحية عن إدارة الفنادق وخدمات الإطعام وتصميم الغرف والمنتجعات.","7eec2e2c1e5a7f7ded1ac8e84c1a9ce4713bce9e8579b42b1ddae31312bbf27f","ar","السياحة والفندقة.","{}","no_answer","no_answer","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","مجال خارج المحفظة المتوقعة. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-043","تحتاج مزرعة إلى أنظمة الري وإدارة المحاصيل والآلات الزراعية.","652084aee7ed187eb3979138e8cac03a535083d810af472aff4fa26ddfc90d61","ar","الزراعة.","{}","no_answer","no_answer","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","مجال خارج المحفظة المتوقعة. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-044","يبحث مستشفى عن خبرة في الجراحة القلبية وإدارة غرف العمليات والتجهيزات الطبية.","0e3ec5ae1c627c63d18860229487417320b58271c3634e88f413684e5c356d47","ar","الطب والجراحة.","{}","no_answer","no_answer","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","مجال خارج المحفظة المتوقعة. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-045","يريد مصنع سيارات تصميم خط إنتاج وتجميع ميكانيكي وصيانة روبوتات صناعية.","aca52e81a936dc5234193f92c14ea65891940693aee2a0f5fbcf8782d07d86ef","ar","التصنيع الميكانيكي.","{}","no_answer","no_answer","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","مجال خارج المحفظة المتوقعة. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-046","Nous cherchons une référence pour API Gateway وإدارة واجهات البرمجة dans une banque ou une assurance.","2bf3adaae3ccb2c5586771454542b9ac75fa5582bec7d83a6fd3d4c9395b1760","mixed","Mixed French/Arabic API-management opportunity.","{}","answerable|mixed_script|cross_language_expected","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","Tests mixed-script normalization. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-047","Cloud migration et sécurité المعلوماتية pour une institution financière, avec architecture cible et transfert de compétences.","9b0829be47530c76324ba269f827d2fe08cd4f307264de1c240ee2e0c5bb27e3","mixed","Mixed French/Arabic cloud and security.","{}","answerable|mixed_script|cross_language_expected","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","Tests semantic retrieval across scripts. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-048","Need a PMO pour piloter برنامج تحول رقمي حكومي avec gestion des risques et conduite du changement.","c7f24b4f28486fe406150b6f13aff9baba5bde99d2af40a20ffeb8376c0b1883","mixed","Mixed English/French/Arabic PMO opportunity.","{}","answerable|mixed_script|cross_language_expected","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","Tests mixed-language query handling. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-049","Gestion d’un entrepôt logistique وتخطيط الشحن الدولي مع أسطول من الشاحنات.","409ac3dc50ef30b52610e19b2e1901ea9ec7f08697160cf8b2ed6d48a2d65b3d","mixed","Logistics and freight operations.","{}","no_answer|mixed_script","no_answer","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","Deliberately outside expected portfolio. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-050","Film production وإدارة الممثلين والتصوير والمونتاج pour une série télévisée.","7227c4100a6c6e94092a9467db6f787477016e39a78112829b3989e1c92108a0","mixed","Film and television production.","{}","no_answer|mixed_script","no_answer","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","Deliberately outside expected portfolio. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
