"query_id","blinded_candidate_id","query_text","query_language","business_context","mandatory_filters","candidate_project_title","client","country","period","sector","offering","technologies","evidence_passage_1","evidence_source_1","evidence_page_1","evidence_passage_2","evidence_source_2","evidence_page_2","evidence_language","reviewer_1_relevance","reviewer_1_confidence","reviewer_1_notes","reviewer_2_relevance","reviewer_2_confidence","reviewer_2_notes","adjudicated_relevance","adjudicator_notes"
"DEV-001","DEV-001-C11","Une banque régionale cherche à déployer une passerelle API sécurisée, industrialiser la publication des API et transférer les compétences aux équipes internes.","fr","Banque; intégration et API management.","{}","Plan de Continuité d’Activité Plan de Continuité d’Activité Etude des besoins de continuité Analyse des risques majeurs Pilotage de la mise en place du site de repli collaborateurs Pilotage de la mise en place du site…","Banque de l’Habitat Tunisie | BH","Tunisie","2018","Banque","PCA/PCI","Network","Objet du contrat Par la signature du présent contrat, le Prestataire consent à réaliser pour le compte de la Banque de l'Habitat une mission d’étude et de mise en place d’un Plan de Continuité d'Activité couvrant l’ensemble des domaines de ces activités. Cette mission à pour objectifs de : et de redémarrage associés en cas de 5 Marché C.A.S.P 01/2017 sinistre.…","Contrat BH PCA 2017.pdf","1","+ donner une indication sur l'architecture réseau, la configuration matérielle ou logicielle, les platesformes, les serveurs, etc... et toute composante des systèmes d’information et de communication.…","Contrat BH PCA 2017.pdf","2","fr","","","","","","","",""
"DEV-001","DEV-001-C12","Une banque régionale cherche à déployer une passerelle API sécurisée, industrialiser la publication des API et transférer les compétences aux équipes internes.","fr","Banque; intégration et API management.","{}","Mise à niveau de la sécurité SI Mise à niveau de la sécurité SI du groupe SUNU ▪ Analyse de l’existant et élaboration de l’analyse de risques ▪ Analyse des écarts par rapport à l’ISO 27001 et ISO27002 ▪ Structuration…","SUNU Assurance","Côte d’Ivoire","2021","Assurance","PCA/PCI","","atteste par la présente que la société Devoteam Tunisie a réalisé pour notre compte, le projet RSSI en régie et transfert de compétences ». Le projet a été piloté par M. Sami Benhaj, expert sécurité IT.…","Attestation SUNU RSSI.pdf","1","ET DE LA TRANSFORMATION DIGITALE Immeuble SUNU, Avenue Botreau Roussel Tél, : [PHONE_LIKE]- Fax : [PHONE_LIKE] Roch GUINKO Directeur de l'Organisation, des Systèmes d’Information et de la Transformation Digitale du Groupe SUNU","Attestation SUNU RSSI.pdf","1","fr","","","","","","","",""
"DEV-001","DEV-001-C13","Une banque régionale cherche à déployer une passerelle API sécurisée, industrialiser la publication des API et transférer les compétences aux équipes internes.","fr","Banque; intégration et API management.","{}","Accompagnement de la BMCI dans la définition de l’architecture et l’urbanisation de son SI(API Gateway) Phase 1: Diagnostic • Identifier les différents interlocuteurs et structures participantes à la mission • Planifi…","La Banque Mauritanienne pour le Commerce International (BMCI)","Mauritanie","2022","Banque","AMOA","API management","Tilted BP: 622 / Tél: 45252826 SS Tw ere re ree Nouakchott (RIM) Imputation: Informatique | BON DE COMMANDE Fournisseur: DEVOTEAM (Tunisie) Tél: | Votre OFFRE FINANCIERE: Phase 1 - Diagnostic Phase 2 - Urbanisation Phase 3 - Identification et mise en place d'un cas d'usage API Total = Arrêté le présent bon de commande à la somme totale de: Dix Mille Euros. N°41041 Date: Le 20/04/2022 TK a, gfe of à ~* .…","BC-BMCI.pdf","1","","","","fr","","","","","","","",""
"DEV-001","DEV-001-C14","Une banque régionale cherche à déployer une passerelle API sécurisée, industrialiser la publication des API et transférer les compétences aux équipes internes.","fr","Banque; intégration et API management.","{}","Choix d'un consultant pour l'étude, l'assistance, l'accompagnement , et le suivi dans le cadre du projet ayant pour objet : Acquisition , l'instalation, la configuration et la mise en exploitation d'une API GATEWAY Ph…","Banque Tunisienne de Solidarité (BTS)","Tunisie","2022","Banque","AMOA","API management; Cloud; Network","information pouvant donner une indication sur :
- Tout type de faille organisationnelle ou technique décelée. _ L'architecture réseau, la configuration matérielle ou logicielle, les plates-formes, les serveurs et toute composante du système d’information.
- Les mécanismes de contrôle d’accès et de protection du système d’information et des dispositifs de sécurité physique ou logique.…","SONEDE SDSI  (2).pdf","4","Le fournisseur s'engage à ne plus Procéder, dès réception de Ja décision de Ja SONEDE de liquidation du marché. Pour la caution qui remplace Je Cautionnement dé 22.2. Résiliation à Pamiable La caution rempla ARTICLE 23 : Lu et approuvé RT و SE PI LULZ 2 Tunis le a met de graves négligences dans la conduite de la mission ou dans ses relations avec Ja SONEDE ou la Structure à étudier.…","SONEDE SDSI  (2).pdf","12","fr","","","","","","","",""
"DEV-001","DEV-001-C15","Une banque régionale cherche à déployer une passerelle API sécurisée, industrialiser la publication des API et transférer les compétences aux équipes internes.","fr","Banque; intégration et API management.","{}","Mise en place solution pour la refonte de l’application NSIA Banque direct (Mobile Banking) Le projet ""Ma banque directe"" consiste en une série d'ateliers techniques, fonctionnels et de design pour définir, valider et…","NSIA","Côte d’Ivoire","2021","Banque","AMOA","Data platform","Banque CI, à son personnel ou à un tiers, du fait de toute faute, erreur ou négligence imputable à lui-même ou à son personnel et à ses sous-traitants.
- Les conséquences des réclamations de tiers, résultant de l’inexécution ou de la mauvaise exécution des prestations confiées au Prestataire seront supportées en totalité par ce dernier, si celui-ci en est responsable.…","avenant NSIA GED DATA Mobile  (1).pdf","8","Sie ""NS °C FAVENANT N° 1 AU CONTRAT D'ELABORATION ET DE MISE EN ŒUVRE DE LA STRATEGIE ie BANQUE DIGITALE NSIA BANQUE Cl x ARTICLE 3 : ASSURANCES ET INDEMNITES
- Le Prestataire s'engage à indemniser intégralement NSIA Banque CI de tout dommage, perte, préjudice, dommages et intérêts, dépenses et paiements, quelle que soit la conséquence, subie ou occasionnée à la suite d'un oubli ou d’une négligente de la part de ses employés ou de ses agents dans l'exécution des prestations envisagés dans le cadre du contrat et / ou résultant d'une violation par le Prestataire, ses employés ou ses mandataires, de l'une des obligations mises à sa charge termes du contrat.…","avenant NSIA GED DATA Mobile  (1).pdf","8","fr","","","","","","","",""
"DEV-001","DEV-001-C16","Une banque régionale cherche à déployer une passerelle API sécurisée, industrialiser la publication des API et transférer les compétences aux équipes internes.","fr","Banque; intégration et API management.","{}","Elaboration du manuel de procédures techniques de la DSI • Cadrer les objectifs, le périmètre de la mission et les résultats attendus • Proposer des orientations générales d’amélioration • Elaborer le planning détaill…","Banque Tunisienne de Solidarité (BTS)","Tunisie","2021","Banque","SDSI/AMOA","COBIT; ITIL; Network","Central BTS 2480/2018. Date de la Réception: L'an deux mille dix-huit, le mercredi dix-neuf septembre (19/09/2018). Lieu de la Réception : Siège de la BTS (56, avenue Mohamed V 1002 Tunis). Ils étaient présents : Participants BTS Mr Mohamed KAANICHE Directeur Général Mr Khalifa SBOUI Directeur Général Adjoint Mr Sofien ABDELHAK Chef du Département Informatique Participants DEVOTEAM Mr Slim CHENCHAH Chef de Projet Mr Mohamed BEN MESSAOUD Membre de l'Equipe Projet Mme Imen KALLEL Membre de l'Equipe Projet Objet de la Réunion La réunion avait pour objectif de : -__ Lancer le projet d'élaboration du Schéma Directeur du Système d'Information de la Banque.…","PV BTS SDSI 2019 (2).pdf","3","l'indisponibilité de la Direction Générale de la Banque. Par conséquent, les délais prévus pour la 1€ phase du projet courront à compter de la date de la réunion de démarrage.…","PV BTS SDSI 2019 (2).pdf","4","fr","","","","","","","",""
"DEV-001","DEV-001-C17","Une banque régionale cherche à déployer une passerelle API sécurisée, industrialiser la publication des API et transférer les compétences aux équipes internes.","fr","Banque; intégration et API management.","{}","Elaboration SDSI 2023 - 2025 Phase 1 : Etat des lieux et Diagnostic de l’existant • Dresser un état des lieux de l’existant (process métier, patrimoine applicatif, infrastructure, gouvernance et organisation It, etc..…","Sonede","Tunisie","2021","Entreprise Pub","SDSI","Cloud; COBIT; ITIL; Network","it it it bay 5 ا 1 5 | ا | | 5 لت أت ا Les له لم rene CONtEAT sua si عع وم oa cet cetera Mission: d’élaboration du-schéma directeur informatique 1: : TLR TASSE AE RU IS ES DIN AR RE RE RP ce eee [PHONE_LIKE] ° Etudier la couverture fonctionnelle du SI existant. Chaque domaine fonctionnel devra être analysé en termes de couverture; e Analyser architecture du SI de la SONEDE; ٠ Identifier les enjeux et les besoins d’évolution des différentes directions de la SONEDE ; e Identifier les besoins d’évolution en termes de transformation digitale.…","SONEDE SDSI  (2).pdf","2","office, le back office, les fonctions de reporting et de pilotage et les fonctions support; e Identifier la cible d'évolution pour les services offerts aux utilisateurs finaux : bureautique, téléphonie, ... : e Identifier la cible d’évolution pour les services offerts aux clients : paiements à distance, ...…","SONEDE SDSI  (2).pdf","2","fr","","","","","","","",""
"DEV-001","DEV-001-C18","Une banque régionale cherche à déployer une passerelle API sécurisée, industrialiser la publication des API et transférer les compétences aux équipes internes.","fr","Banque; intégration et API management.","{}","opérationnalisation du PCA de la BCT Phase 1 : Mise en place du PCA • Réalisation des ateliers pour les procédures métiers • Réalisation des ateliers pour les procédures de secours informatique (5 applications critiqu…","NSIA Banque","Côte d’Ivoire","2021","Banque","AMOA","Network","Quatre (4) Semaines calendaires pour la phase I « Diagnostic approfondie de l’organisation actuelle »

Cinq (5) Semaines calendaires pour la phase II « Définition de la nouvelle organisation de la fonction SI et Projets et Organisation »

Cinq (5) Semaines calendaires pour la phase III « Assistance à la mise en place de la nouvelle organisation »

En cas de dépassement de la date d’échéance, le contrat s’arrête seulement qu’à la transmission de tous les livrables.

Ce délai s’entend hors des délais de validation des livrables de DEVOTEAM par NSIA BANQUE CI.…","CONTRAT NSIA - DEVOTEAM - Mise en place de la nouvelle Organisation vf (1) (1).pdf","3","Page 4

ARTICLE 8 : EQUIPE INTERVENANTE La mission se déroulera dans les locaux de DEVOTEAM ainsi que dans les locaux de NSIA BANQUE CI selon les besoins. Le tableau ci-dessous présente l’équipe projet qui sera chargée de la réalisation de la mission.…","CONTRAT NSIA - DEVOTEAM - Mise en place de la nouvelle Organisation vf (1) (1).pdf","5","fr","","","","","","","",""
"DEV-001","DEV-001-C19","Une banque régionale cherche à déployer une passerelle API sécurisée, industrialiser la publication des API et transférer les compétences aux équipes internes.","fr","Banque; intégration et API management.","{}","Mise en place de la plateforme d’intégration (kong)  Lancement du projet  Définition de l’architecture cible  Mise en place de la plateforme api management kong (onpremise / azure cloud)  Mise en place de la plate…","SUNU Assurance","Côte d’Ivoire","2020","Assurance","API Gateway","API management; Cloud","atteste par la présente que la société Devoteam a réalisé pour notre compte, le projet de fiabilisation de données et mise en place du référentiel unique ». Le projet a été piloté par M. Slim Chenchah, Directeur de projet.…","SUNU = Fiabilisation de données.pdf","1","Transformation du Groupe eke fy - تك أبنا : Avenue Botreéu Rose ا À : Tél. [PHONE_LIKE]- Fax: [PHONE_LIKE] SUNU Services rt po S.A.S.U au capital de [PHONE_LIKE] F.CFA — RCCM CI-ABJ-2011-B-9667 — cic.…","SUNU = Fiabilisation de données.pdf","1","fr","","","","","","","",""
"DEV-001","DEV-001-C20","Une banque régionale cherche à déployer une passerelle API sécurisée, industrialiser la publication des API et transférer les compétences aux équipes internes.","fr","Banque; intégration et API management.","{}","Gestion des projets pour des projets de transformation digitale mis en œuvre par la GIZ PHASE 1 : DIAGNOSTIC DE L’EXISTANT - Rapport d’analyse des nouveaux besoins des métiers - Rapport de consolidation des demandes d…","Banque centrale de Tunisie","Tunisie","2022","Banque","PMO","Digital identity","٠ S'assurer de la faisabilité de la mise en œuvre du projet sur tous les aspects d'organisation, juridiques, budgétaires et de planification et de ressources ; ٠ Préconiser et aider au choix de la solution et des prestataires le cas échéant : ٠ Garantir la coordination et le pilotage durant toute la vie du projet : ٠ Contrôler et réceptionner les prestations fournies par les entreprises et de ses soustraitants le cas échéant, depuis les phases de spécification d'avant-projet, de rédaction des cahiers des charges jusqu'aux dossiers des ouvrages exécutés.","contrat GIZ-AMOA 83400520  (1).pdf","16","> . H Drnse Le 0 الإو سي اس 012 2 وتان ممصم 208 012 EE. LA Pégiss pénérsies applicabics à ها feurntture de prestations LR] Oren applenbte Les cnncitors generates ¢ موسوكاة ou de paument du contactant na nont pee applicabies. Le drot appécatée au coréret eut le Gon afernarct, 12 Ferme éerte even ot cane signature Set Gepositore contraires den pertes eu contrat et à moins que des preaciptions Mynies ne prévowrt une tome plus ovicte, les mocalOrS cy evenants au contrat ain) que tases tes communications inportaries.…","contrat GIZ-AMOA 83400520  (1).pdf","23","fr","","","","","","","",""
"DEV-001","DEV-001-C21","Une banque régionale cherche à déployer une passerelle API sécurisée, industrialiser la publication des API et transférer les compétences aux équipes internes.","fr","Banque; intégration et API management.","{}","Fiabilisation des données et mise en place du référentiel client unique  Diagnostic des bases de données existantes (Clients / Produits / Partenaires ...)  Fiabilisation des référentiels clients, produits, partenair…","SUNU Assurance","Côte d’Ivoire","2021","Assurance","API Gateway","API management","atteste par la présente que la société Devoteam a réalisé pour notre compte, le projet de fiabilisation de données et mise en place du référentiel unique ». Le projet a été piloté par M. Slim Chenchah, Directeur de projet.…","SUNU = Fiabilisation de données.pdf","1","Transformation du Groupe eke fy - تك أبنا : Avenue Botreéu Rose ا À : Tél. [PHONE_LIKE]- Fax: [PHONE_LIKE] SUNU Services rt po S.A.S.U au capital de [PHONE_LIKE] F.CFA — RCCM CI-ABJ-2011-B-9667 — cic.…","SUNU = Fiabilisation de données.pdf","1","fr","","","","","","","",""
"DEV-001","DEV-001-C22","Une banque régionale cherche à déployer une passerelle API sécurisée, industrialiser la publication des API et transférer les compétences aux équipes internes.","fr","Banque; intégration et API management.","{}","Elaboration et la mise en œuvre de la stratégie digitale de NSIA Banque CI  Elaboration de la vision de la banque au sujet de la digitalisation  Analyse et collecte de l’existant  Préparation de l’appel d’offres …","NSIA Banque","Côte d’Ivoire","2019","Banque","AMOA","Network","ARTICLE 13 : AVENANT AU CONTRAT Toutes prestations sollicitées par NSIA Banque CI et qui ne feraient pas parties du présent contrat doivent faire l’objet d’un avenant établi et signé par les deux parties.","CONTRAT NSIA BANQUE CI - DEVOTEAM.pdf","5","Phase II : Accompagnement à la mise en œuvre Accompagnement réflexion stratégique Analyse et collecte de l’existant Définition de la cible Cadrage de la mission de RFP

Préparation de l’appel d’offres Stratégie de consultation Elaboration du dossier de consultation (cahier des charges, grilles de dépouillement) Sélection des intégrateurs

Rédaction des spécifications générales Rédaction des spécifications fonctionnelles générales et détaillées de l’intégration Pilotage de l’intégration Animation de la gouvernance (organisation des comités, suivi et comitologie) Pilotage du budget Suivi de la réalisation des objectifs (alignement des livrables aux objectifs) Pilotage de l’intégrateur (suivi…","CONTRAT NSIA BANQUE CI - DEVOTEAM.pdf","4","fr","","","","","","","",""
"DEV-001","DEV-001-C23","Une banque régionale cherche à déployer une passerelle API sécurisée, industrialiser la publication des API et transférer les compétences aux équipes internes.","fr","Banque; intégration et API management.","{}","Assistance à la mise en œuvre d’un plan de continuité d’activité (PCA) (Plateforme SAP) Phase 1: Lancement de la mission • Lancer le projet • Cadrer et mener les différents travaux prévus et conduire le changement Pha…","BSIC Sénégal","Côte d’Ivoire","2022","Assurance","PCA/PCI","ERP; Network","Ci-après désignée par "" le Fournisseur"" IL A ETE CONVENU CE QUI SUIT ARTICLE 1. OBJET Le présent contrat a pour objet de définir les conditions dans lesquelles le fournisseur fournira les prestations au client dans le cadre du projet « Elaboration du plan de continuité d’activités de la banque BSIC SENEGAL » Les prestations à réaliser par le fournisseur, objet du présent contrat, couvre les quatre phases suivantes : Le tableau ci-après décrit le périmètre de la prestation du Fournisseur Phase 1 : Lancement et pilotage du projet Lancement et pilotage du projet Analyse d'impact métier Phase 2 : Cadrage du Appréciation des risques Plan de continuité Traitement des risques d'activité…","contrat de mission de soustraitance BSIC_SPECTRA .pdf","1","locaux ou dans ceux mis à sa disposition par le Client. Dans ce dernier cas, le personnel du Fournisseur s’engage à se conformer aux règlements intérieurs ainsi qu’aux horaires et consignes en vigueur dans lesdits locaux.…","contrat de mission de soustraitance BSIC_SPECTRA .pdf","2","fr","","","","","","","",""
